Patient_ID	Cluster_5000
SRR8907879	642
SRR8907880	322
SRR8907881	322
SRR8907882	642
SRR8907883	642
SRR8907884	642
SRR8907885	642
SRR8907886	322
SRR8907887	642
SRR8907888	642
SRR8907889	642
SRR8907890	642
SRR8907891	322
SRR8907892	642
SRR8907893	322
SRR8907894	642
SRR8907895	1343
SRR8907896	642
SRR8907897	642
SRR8907898	642
SRR8907899	322
SRR8907900	642
SRR8907901	322
SRR8907902	322
SRR8907903	642
SRR8907904	322
SRR8907905	1343
SRR8907906	642
SRR8907907	1343
SRR8907908	642
SRR8907909	1343
SRR8907910	642
SRR8907911	322
SRR8907912	642
SRR8907913	642
SRR8907914	642
SRR8907915	642
SRR8907916	322
SRR8907917	642
SRR8907918	642
SRR8907919	642
SRR8907920	322
SRR8907921	642
SRR8907922	642
SRR8907923	642
SRR8907924	322
SRR8907925	322
SRR8907926	1343
SRR8907927	322
SRR8907928	642
SRR8907929	1343
SRR8907930	642
SRR8907931	642
SRR8907932	642
SRR8907933	642
SRR8907934	1343
SRR8907935	642
SRR8907936	642
SRR8907937	322
SRR8907938	1343
SRR8907939	642
SRR8907940	642
SRR8907941	642
SRR8907942	322
SRR8907943	642
SRR8907944	642
SRR8907945	1343
SRR8907946	642
SRR8907947	1343
SRR8907948	322
SRR8907949	1343
SRR8907950	642
SRR8907951	642
SRR8907952	322
SRR8907953	642
SRR8907954	642
SRR8907955	1343
SRR8907956	642
SRR8907957	642
SRR8907958	4873
SRR8907959	642
SRR8907960	642
SRR8907961	322
SRR8907962	1343
SRR8907963	322
SRR8907964	642
SRR8907965	642
SRR8907966	642
SRR8907967	642
SRR8907968	642
SRR8907969	1343
SRR8907970	322
SRR8907971	642
SRR8907972	642
SRR8907973	322
SRR8907974	642
SRR8907975	322
SRR8907976	642
SRR8907977	642
SRR8907978	642
SRR8907979	1343
SRR8907980	642
SRR8907981	322
SRR8907982	1343
SRR8907983	322
SRR8907984	322
SRR8907985	642
SRR8907986	642
SRR8907987	1343
SRR8907988	322
SRR8907989	642
SRR8907990	642
SRR8907991	642
SRR8907992	1343
SRR8907993	1343
SRR8907994	1343
SRR8907995	1343
SRR8907996	642
SRR8907997	642
SRR8907998	642
SRR8907999	322
SRR8908000	1343
SRR8908001	1343
SRR8908002	642
SRR8908003	642
SRR8908004	1343
SRR8908005	642
SRR8908006	642
SRR8908007	322
SRR8908008	1343
SRR8908009	642
SRR8908010	642
SRR8908011	642
SRR8908012	2671
SRR8908013	642
SRR8908014	642
SRR8908015	642
SRR8908016	322
SRR8908017	1343
SRR8908018	642
SRR8908019	642
SRR8908020	642
SRR8908021	642
SRR8908022	642
SRR8908023	1343
SRR8908024	1343
SRR8908025	1343
SRR8908026	1343
SRR8908027	642
SRR8908028	642
SRR8908029	1343
SRR8908030	642
SRR8908031	1343
SRR8908032	1343
SRR8908033	1343
SRR8908034	642
SRR8908035	642
SRR8908036	642
SRR8908037	2671
SRR8908038	642
SRR8908039	642
SRR8908040	1343
SRR8908041	1343
SRR8908042	642
SRR8908043	2671
SRR8908044	642
SRR8908045	642
SRR8908046	642
SRR8908047	642
SRR8908048	322
SRR8908049	1343
SRR8908050	642
SRR8908051	1343
SRR8908052	1343
SRR8908053	322
SRR8908054	642
SRR8908055	642
SRR8908056	642
SRR8908057	322
SRR8908058	322
SRR8908059	322
SRR8908060	642
SRR8908061	1343
SRR8908062	322
SRR8908063	642
SRR8908064	4873
SRR8908065	642
SRR8908066	642
SRR8908067	1343
SRR8908068	1343
SRR8908069	1343
SRR8908070	1343
SRR8908071	642
SRR8908072	642
SRR8908073	1343
SRR8908074	642
SRR8908075	1343
SRR8908076	642
SRR8908077	322
SRR8908078	642
SRR8908079	1343
SRR8908080	322
SRR8908081	642
SRR8908082	642
SRR8908083	642
SRR8908084	322
SRR8908085	642
SRR8908086	1343
SRR8908087	1343
SRR8908088	1343
SRR8908089	1343
SRR8908090	642
SRR8908091	642
SRR8908092	1343
SRR8908093	2671
SRR8908094	1343
SRR8908095	2671
SRR8908096	1343
SRR8908097	642
SRR8908098	642
SRR8908099	4873
SRR8908100	2671
SRR8908101	1343
SRR8908102	642
SRR8908103	1343
SRR8908104	1343
SRR8908105	1343
SRR8908106	642
SRR8908107	642
SRR8908108	1343
SRR8908109	1343
SRR8908110	642
SRR8908111	1343
SRR8908112	1343
SRR8908113	642
SRR8908114	642
SRR8908115	642
SRR8908116	642
SRR8908117	2671
SRR8908118	1343
SRR8908119	642
SRR8908120	642
SRR8908121	2671
SRR8908122	642
SRR8908123	1343
SRR8908124	642
SRR8908125	1343
SRR8908126	1343
SRR8908127	1343
SRR8908128	2671
SRR8908129	2671
SRR8908130	1343
SRR8908131	322
SRR8908132	1343
SRR8908133	642
SRR8908134	1343
SRR8908135	642
SRR8908136	1343
SRR8908137	1343
SRR8908138	1343
SRR8908139	1343
SRR8908140	1343
SRR8908141	4873
SRR8908142	1343
SRR8908143	1343
SRR8908144	642
SRR8908145	1343
SRR8908146	642
SRR8908147	322
SRR8908148	1343
SRR8908149	2671
SRR8908150	1343
SRR8908151	1343
SRR8908152	1343
SRR8908153	1343
SRR8908154	642
SRR8908155	642
SRR8908156	1343
SRR8908157	4873
SRR8908158	1343
SRR8908159	1343
SRR8908160	642
SRR8908161	642
SRR8908162	642
SRR8908163	2671
SRR8908164	1343
SRR8908165	642
SRR8908166	1343
SRR8908167	642
SRR8908168	2671
SRR8908169	642
SRR8908170	1343
SRR8908171	4873
SRR8908172	2671
SRR8908173	642
SRR8908174	1343
SRR8908175	642
SRR8908176	1343
SRR8908177	1343
SRR8908178	642
SRR8908179	642
SRR8908180	1343
SRR8908181	1343
SRR8908182	642
SRR8908183	1343
SRR8908184	642
SRR8908185	642
SRR8908186	1343
SRR8908187	642
SRR8908188	642
SRR8908189	642
SRR8908190	1343
SRR8908191	1343
SRR8908192	1343
SRR8908193	1343
SRR8908194	1343
SRR8908195	1343
SRR8908196	642
SRR8908197	1343
SRR8908198	642
SRR8908199	1343
SRR8908200	322
SRR8908201	1343
SRR8908202	2671
SRR8908203	642
SRR8908204	1343
SRR8908205	1343
