"X","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","filtered_mapped_hugo_id"
39,6614,28.5007614038195,-1.51217121416266,0.0477731605692298,-31.5661429420274,1.07678806450844e-218,2.95072233317248e-214,"EPSTI1"
29,5223,29.1425680375703,-1.68022103823124,0.0544099571865257,-30.9082259828947,9.26084283714382e-210,1.26887438133126e-205,"NT5C3A"
38,6508,31.9271844123405,-1.85870588669494,0.0616283486878648,-30.1280016274458,2.08307969994096e-199,1.90275443391607e-195,"XAF1"
9,1802,22.3630284065391,-2.10495452907561,0.0725724420673827,-28.9884755523396,9.19360914137203e-185,6.29831178252545e-181,"OAS1"
41,6781,13.9358643732171,-2.15482862285873,0.0751089935690291,-28.6880573768846,5.3768362398067e-181,2.94682886958846e-177,"CMPK2"
37,6456,70.9816604650697,-1.05716853096336,0.0371571927069854,-28.4490883040389,5.00128387910145e-178,2.26018776669738e-174,"TRIM22"
17,3839,23.6311794848597,-1.91252982735006,0.067287343397689,-28.4440465996519,5.7735701809589e-178,2.26018776669738e-174,"OAS2"
48,7461,66.1832886109021,-2.35357779402824,0.082847422207186,-28.2339929931707,2.23813410286257e-175,7.66644860259289e-172,"IFI44L"
50,7566,37.9293690788565,-1.55951010267301,0.0552995790773953,-28.1979818287431,6.19044004089083e-175,1.88485142711702e-171,"PARP9"
49,7463,37.2300396453687,-2.1637267262713,0.0771084353902018,-27.972813788039,3.48052100532442e-172,9.5376717108905e-169,"IFI44"
22,4341,17.0593866417205,-1.664804875101,0.0600061510012983,-27.7913287628788,5.52168255193619e-170,1.37555151791552e-166,"IFIH1"
63,9956,26.8421190151171,-2.03036534025542,0.0733941526482939,-27.7191965470213,4.09898053126824e-169,9.36036362486196e-166,"MX1"
46,7388,41.3196850115925,-1.70241902656436,0.0616648768669086,-27.5605013989325,3.31217359260703e-167,6.98180715063157e-164,"DDX60"
33,5760,11.6056935575955,-1.94153059835379,0.0704660003258012,-27.524282434248,8.99323969790709e-167,1.76029819601249e-163,"IFI6"
1,22,15.9704017671551,-1.74051009417256,0.0636770719831784,-27.3191480343167,2.51259470910639e-164,4.59017552090949e-161,"LAP3"
23,4630,12.8572483400284,-1.24328754491733,0.0460240621601029,-26.9745527858678,2.93971005058081e-160,5.03480465725411e-157,"GBP3"
95,21455,57.1667260749091,-1.17605684732912,0.0436337388442232,-26.9592434863557,4.44474025142075e-160,7.16465982998134e-157,"APOL6"
19,4007,19.2785243404078,-1.11920505313094,0.0419780354100257,-26.6758951481555,8.96399987029458e-157,1.36466938025379e-153,"TRIM38"
55,8551,18.7650871000662,-1.18068191631226,0.0443502825229917,-26.6006805445374,6.66610253495996e-156,9.61427409292146e-153,"PLAC8"
75,12316,5.67231386669185,-2.40125304550871,0.0894173711614369,-26.5545484845848,2.27563980023478e-155,3.11796787229168e-152,"CXCL10"
36,6426,11.0065000878843,-1.25867565506929,0.0474380387855709,-26.5170389611112,6.16578696704798e-155,8.04576477419123e-152,"GCH1"
80,13916,81.1378024841382,-1.08707279110821,0.0412102010224199,-26.3762258661763,2.56815328210911e-153,3.05978714737547e-150,"SAMD9L"
24,4631,52.7174117135051,-1.69828501264375,0.0646708918392806,-26.2117270897135,1.9534206930695e-151,2.23039946884098e-148,"GBP1"
16,3838,9.83594587529202,-1.88365629279622,0.0721220059220211,-26.1590391097117,7.77756468416398e-151,8.52514420160582e-148,"OAS3"
28,5136,60.7010098860239,-1.42572561999146,0.0546123333470228,-26.1452813540772,1.11513752923541e-150,1.17531206590915e-147,"TNFSF10"
40,6778,51.4962371316393,-2.31613642358292,0.0892276665888001,-25.8758408505059,1.24588949076315e-147,1.26448554501417e-144,"RSAD2"
25,4919,83.4199078764938,-1.78728844098676,0.0694721690413317,-25.6673511344622,2.70704609033431e-145,2.64932800047969e-142,"IFIT3"
42,6911,9.02872734296589,-1.88858239455819,0.073710066098044,-25.6185757950489,9.47350198525928e-145,8.95180603110552e-142,"OASL"
60,9431,27.2790098917967,-1.53467132068031,0.0606557885265371,-25.32239013534,1.81075376182028e-141,1.60064791403746e-138,"IFIT5"
4,744,20.8937935926531,-1.59503665140611,0.0633819239202946,-25.1949884418482,4.54571984451339e-140,3.89269877810002e-137,"EIF2AK2"
70,10954,19.6697505019167,-1.13948068724809,0.0454305773782947,-25.1097182318637,3.89512967795924e-139,3.23449207773082e-136,"DTX3L"
84,15449,61.1584759313064,-2.09182494277581,0.0832325339929762,-25.0826138799239,7.69844920284455e-139,6.20472363251616e-136,"IFIT1"
11,3192,18.347694099557,-1.66537195871743,0.0668542858368772,-25.0688974453265,1.08646472068207e-138,8.50639792595733e-136,"TFEC"
43,7180,7.17990603416616,-1.4535585824692,0.0576778075600273,-25.0430042823749,2.0807679155358e-138,1.5838689774841e-135,"RTP4"
18,3935,11.2861602773015,-1.46836989023617,0.0592465029938606,-24.8729572703427,1.4599300775887e-136,1.05280168200429e-133,"NCOA7"
31,5341,12.1642929664829,-1.7735267214684,0.0715078449052904,-24.8276752859922,4.5063004206279e-136,3.16631154939657e-133,"TNFAIP6"
64,10603,17.500141610795,-1.57760483416785,0.0641402381316583,-24.6642358418061,2.5892153285057e-134,1.77380669117604e-131,"GBP4"
66,10855,34.3861929039905,-1.06813291174284,0.0436928222851823,-24.4748112309329,2.73995517056884e-132,1.78769027474043e-129,"IFI16"
89,15990,22.5705602449536,-1.64459838001725,0.0674789665053333,-24.4174121784487,1.11726116935537e-131,7.12007158694075e-129,"PLSCR1"
7,1669,15.2250451233053,-1.11851409256675,0.0459670761697007,-24.3561417693475,4.99068000459364e-131,3.10817282195181e-128,"CHMP5"
51,7585,7.98709223970283,-1.3755457132014,0.0566298446126146,-24.2163980783745,1.49479589930966e-129,9.10264267306278e-127,"HERC6"
79,13300,45.4222782326234,-1.16197903575468,0.0481135803959999,-24.1896335658519,2.86014889749905e-129,1.70384043996014e-126,"RNF213"
12,3362,37.4985524411947,-1.46495549560148,0.0607737052752544,-24.1799888538107,3.6129574148452e-129,2.10650791572347e-126,"RIGI"
72,11516,7.58811216796632,-2.17031840151176,0.0873827284397864,-24.1592608998988,5.96773959349433e-129,3.40695766834427e-126,"IFI27"
83,15269,4.9817232719249,-1.79695631835326,0.0740270017293651,-24.0502306521404,8.30150891926072e-128,4.64257650845921e-125,"USP18"
30,5340,17.8026419410897,-1.09130191032557,0.045396330618514,-24.0440761964652,9.62813451301827e-128,5.27679540120479e-125,"NMI"
34,6118,48.7453990643687,-1.15158869341321,0.048349723151211,-23.8732668542871,5.80656377745935e-126,3.05994744603305e-123,"SAT1"
52,7586,23.8231009243126,-1.97893085554244,0.0849406973938813,-23.4165501115455,2.89891587793881e-121,1.47109244079921e-118,"HERC5"
85,15479,12.3854983456504,-1.02813817329918,0.0439719781203388,-23.355195512228,1.22042195533131e-120,6.08058597126251e-118,"TRIM69"
87,15600,8.53429466921451,-1.45877162430129,0.0629163104943902,-23.249231442208,1.44822655763952e-119,7.08674149267783e-117,"CD300E"
